NAME,PRIMARY TYPE,LAST ERUPTION YEAR,COUNTRY,REGION2,SUBREGION,LATITUDE,LONGITUDE,ELEVATION,EVIDENCE CATEGORY,POPULATION WITHIN 5KM,POPULATION WITHIN 10KM,POPULATION WITHIN 30KM,POPULATION WITHIN 100KM
Akademia Nauk,Stratovolcano(es),1996,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",53.98,159.45,1180,Eruption Observed,3,3,615,12484
Akagisan,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas","Honshu",36.56,139.193,1828,Evidence Uncertain,961,4538,1116366,16718375
Akan,Caldera,2008,Japan,"Japan, Taiwan, Marianas","Hokkaido",43.384,144.013,1499,Eruption Observed,2062,2062,9756,929538
Akandanayama,Stratovolcano,Unknown,Japan,"Japan, Taiwan, Marianas","Honshu",36.2,137.573,2109,Evidence Credible,0,0,0,0
Akhtang,Shield,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",55.43,158.65,1956,Evidence Uncertain,0,0,93,9232
Akita-Komagatake,Stratovolcano(es),1971,Japan,"Japan, Taiwan, Marianas","Honshu",39.761,140.799,1637,Eruption Observed,376,3864,216708,2521611
Akita-Yakeyama,Stratovolcano,1997,Japan,"Japan, Taiwan, Marianas","Honshu",39.964,140.757,1366,Eruption Observed,127,721,55493,3122037
Akuseki-jima,Stratovolcano(es),Unknown,Japan,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",29.461,129.597,584,Evidence Uncertain,52,52,199,749
Akutan,Stratovolcano,1992,United States,"Alaska","Aleutian Islands",54.134,-165.986,1303,Eruption Observed,0,24,233,4361
Alaid,Stratovolcano,2016,Russia,"Kuril Islands","Kuril Islands",50.861,155.565,2285,Eruption Observed,0,64,64,2887
Alamagan,Stratovolcano,870,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.6,145.83,744,Eruption Dated,0,0,0,0
Alayta,Shield,1915,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",12.888,40.573,1496,Eruption Observed,156,925,13459,330411
Alcedo,Shield,1993,Ecuador,"South America","Galapagos Islands",-0.43,-91.12,1130,Eruption Observed,290,290,388,10756
Ale Bagu,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.512,40.631,988,Evidence Credible,2,919,8424,278270
Alid,Stratovolcano,Unknown,Eritrea,"Africa and Red Sea","Africa (northeastern) and Red Sea",14.88,39.92,904,Evidence Credible,517,2447,25942,1216179
Aliso,Stratovolcano,-2450,Ecuador,"South America","Ecuador",-0.53,-78.0,4267,Eruption Dated,0,0,0,0
Alligator Lake,Volcanic field,Unknown,Canada,"Canada and Western USA","Canada",60.42,-135.42,2217,Evidence Credible,0,0,47,20636
Almolonga,Stratovolcano,1818,Guatemala,"México and Central America","Guatemala",14.797,-91.519,3173,Eruption Observed,91323,287487,1126942,6828403
Alney-Chashakondzha,Stratovolcano,1600,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",56.7,159.65,2598,Eruption Dated,0,0,3,10679
Alngey,Stratovolcano,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",57.7,160.4,1853,Evidence Uncertain,0,0,120,1561
Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.793,40.553,578,Eruption Observed,0,9,11209,478054
Alutu,Stratovolcano,-50,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",7.77,38.78,2335,Eruption Dated,6011,25619,314216,6813710
Amak,Stratovolcano,1796,United States,"Alaska","Aleutian Islands",55.424,-163.149,488,Eruption Observed,0,0,0,1345
Amasing,Stratovolcano(es),Unknown,Indonesia,"Indonesia","Halmahera",-0.53,127.48,1030,Evidence Credible,59,803,26015,92417
Ambalatungan Group,Compound,Unknown,Philippines,"Philippines and SE Asia","Luzon",17.32,121.1,2329,Unrest / Holocene,493,3803,55724,4652400
Ambang,Complex,2005,Indonesia,"Indonesia","Sulawesi",0.75,124.42,1795,Eruption Observed,9155,46469,319137,1730602
Ambitle,Stratovolcano,-350,Papua New Guinea,"Melanesia and Australia","New Ireland",-4.08,153.65,450,Eruption Dated,1643,9195,9779,24367
Ambre-Bobaomby,Volcanic field,Unknown,Madagascar,"Middle East and Indian Ocean","Indian Ocean (western)",-12.6,49.15,1475,Evidence Credible,20396,20396,51426,408436
Ambrym,Pyroclastic shield,2017,Vanuatu,"Melanesia and Australia","Vanuatu",-16.25,168.12,1334,Eruption Observed,9,186,10826,63999
Amorong,Lava dome(s),Unknown,Philippines,"Philippines and SE Asia","Luzon",15.828,120.805,376,Unrest / Holocene,24489,139023,1685378,10172750
Amsterdam Island,Stratovolcano,Unknown,France,"Middle East and Indian Ocean","Indian Ocean (southern)",-37.83,77.52,881,Evidence Credible,0,0,0,0
Amukta,Stratovolcano,1997,United States,"Alaska","Aleutian Islands",52.5,-171.252,1066,Eruption Observed,0,0,0,0
Anatahan,Stratovolcano,2008,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.35,145.67,790,Eruption Observed,0,0,0,0
Anaun,Stratovolcano,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",56.32,158.83,1828,Evidence Uncertain,2,4,56,5933
Andahua-Orcopampa,Pyroclastic cone(s),1490,Peru,"South America","Peru",-15.42,-72.33,4713,Eruption Dated,10317,10317,16541,171897
Andrus,Shield(s),Unknown,Antarctica,"Antarctica","Antarctica and South Sandwich Islands",-75.8,-132.33,2978,Evidence Uncertain,0,0,0,0
Aneityum,Stratovolcano(es),Unknown,Vanuatu,"Melanesia and Australia","Vanuatu",-20.2,169.78,852,Evidence Uncertain,176,692,703,22731
Aniakchak,Caldera,1931,United States,"Alaska","Alaska Peninsula",56.88,-158.17,1341,Eruption Observed,0,0,36,479
Ankaizina Field,Pyroclastic cone(s),Unknown,Madagascar,"Middle East and Indian Ocean","Indian Ocean (western)",-14.3,48.67,2878,Evidence Credible,9628,9628,41916,637393
Ankaratra Field,Pyroclastic cone(s),Unknown,Madagascar,"Middle East and Indian Ocean","Indian Ocean (western)",-19.4,47.2,2644,Evidence Credible,123192,123192,413328,5184370
Antillanca Group,Stratovolcano(es),-230,Chile,"South America","Central Chile and Argentina",-40.771,-72.153,1990,Eruption Dated,87,521,5986,530586
Antisana,Stratovolcano,1802,Ecuador,"South America","Ecuador",-0.481,-78.141,5753,Eruption Observed,232,2220,56154,3314142
Antofagasta Volcanic Field,Pyroclastic cone(s),Unknown,Argentina,"South America","Northern Chile, Bolivia and Argentina",-26.12,-67.4,3495,Evidence Uncertain,188,188,257,4295
Antuco,Stratovolcano,1869,Chile,"South America","Central Chile and Argentina",-37.406,-71.349,2979,Eruption Observed,117,474,3872,381623
Aoba,Shield,2011,Vanuatu,"Melanesia and Australia","Vanuatu",-15.4,167.83,1496,Eruption Observed,73,1279,4326,73308
Aogashima,Stratovolcano,1785,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",32.458,139.759,423,Eruption Observed,232,232,232,8559
Apagado,Pyroclastic cone,-590,Chile,"South America","Southern Chile and Argentina",-41.88,-72.58,1210,Eruption Dated,5,44,4474,354002
Apaneca Range,Stratovolcano(es),Unknown,El Salvador,"México and Central America","El Salvador and Honduras",13.891,-89.786,2036,Evidence Credible,11141,151502,1113282,6215853
Apastepeque Field,Volcanic field,Unknown,El Salvador,"México and Central America","El Salvador and Honduras",13.72,-88.77,700,Evidence Credible,377730,377730,687849,6372608
Apo,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Mindanao",6.989,125.269,2938,Unrest / Holocene,1355,5431,767800,7768291
Apoyeque,Pyroclastic shield,-50,Nicaragua,"México and Central America","Nicaragua",12.242,-86.342,518,Eruption Dated,2369,116718,1342581,3445854
Aracar,Stratovolcano,Unknown,Argentina,"South America","Northern Chile, Bolivia and Argentina",-24.29,-67.783,6095,Evidence Credible,0,0,94,4803
Aragats,Stratovolcano,Unknown,Armenia,"Mediterranean and Western Asia","Western Asia",40.53,44.2,4095,Evidence Credible,0,163,150143,3046562
Aramuaca,Maar,Unknown,El Salvador,"México and Central America","El Salvador and Honduras",13.428,-88.105,181,Evidence Credible,15772,132109,699308,3009012
Ararat,Stratovolcano,1840,Turkey,"Mediterranean and Western Asia","Turkey",39.7,44.3,5165,Eruption Observed,25,1239,135563,2811646
Arayat,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Luzon",15.2,120.742,1026,Evidence Uncertain,7846,190674,2805269,27216491
Ardoukoba,Fissure vent(s),1978,Djibouti,"Africa and Red Sea","Africa (northeastern) and Red Sea",11.58,42.47,298,Eruption Observed,2895,2895,6898,560146
Arenal,Stratovolcano,2010,Costa Rica,"México and Central America","Costa Rica",10.463,-84.703,1670,Eruption Observed,3429,15643,96512,3027485
Arenales,Stratovolcano,1979,Chile,"South America","Southern Chile and Argentina",-47.2,-73.48,3437,Eruption Observed,0,0,0,6536
Arhab,Volcanic field,500,Yemen,"Middle East and Indian Ocean","Middle East (southern)",15.63,44.08,3100,Eruption Observed,284443,284443,820695,6517834
Arjuno-Welirang,Stratovolcano,1952,Indonesia,"Indonesia","Java",-7.733,112.575,3339,Eruption Observed,2584,53983,4143137,25385433
Arxan-Chaihe,Pyroclastic cone(s),0,China,"Kamchatka and Mainland Asia","China (eastern)",47.45,120.8,1677,Eruption Dated,6435,6435,6435,188163
Asacha,Complex,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",52.355,157.827,1910,Evidence Credible,0,0,34,238467
Asamayama,Complex,2015,Japan,"Japan, Taiwan, Marianas","Honshu",36.406,138.523,2568,Eruption Observed,583,22371,457576,7629353
Asavyo,Shield,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.098,41.599,1338,Evidence Credible,84,479,7697,47836
Ascension,Stratovolcano,Unknown,United Kingdom,"Atlantic Ocean","Atlantic Ocean (central)",-7.95,-14.37,858,Evidence Credible,614,1149,1149,1149
Askja,Stratovolcano,1961,Iceland,"Iceland and Arctic Ocean","Iceland (northeastern)",65.033,-16.783,1080,Eruption Observed,0,0,0,13028
Asosan,Caldera,2016,Japan,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",32.884,131.104,1592,Eruption Observed,75559,75559,234591,6507519
Assab Volcanic Field,Volcanic field,Unknown,Eritrea,"Africa and Red Sea","Africa (northeastern) and Red Sea",12.95,42.43,987,Evidence Credible,9,9,97,181952
Asuncion,Stratovolcano,1906,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",19.671,145.406,857,Eruption Observed,0,0,0,0
Ata,Caldera(s),885,Japan,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",31.22,130.57,924,Eruption Observed,93134,93134,171590,1891380
Atacazo,Stratovolcano,-320,Ecuador,"South America","Ecuador",-0.353,-78.617,4463,Eruption Dated,449,212988,1837303,3769593
Atakor Volcanic Field,Pyroclastic cone(s),Unknown,Algeria,"Africa and Red Sea","Africa (northern)",23.33,5.83,2918,Evidence Credible,0,0,0,116453
Atitlan,Stratovolcano(es),1853,Guatemala,"México and Central America","Guatemala",14.583,-91.186,3535,Eruption Observed,2303,70431,664649,8029695
Atka,Stratovolcano(es),1812,United States,"Alaska","Aleutian Islands",52.331,-174.139,1448,Eruption Observed,0,0,207,207
Atlin Volcanic Field,Pyroclastic cone(s),Unknown,Canada,"Canada and Western USA","Canada",59.68,-133.32,1880,Evidence Credible,0,0,94,956
Atlixcos,Shield,Unknown,Mexico,"México and Central America","Mexico",19.809,-96.526,800,Evidence Credible,5792,13732,115456,2971490
Atuel,Caldera,Unknown,Argentina,"South America","Central Chile and Argentina",-34.65,-70.05,5189,Evidence Credible,297,297,1003,676916
Auckland Field,Volcanic field,1350,New Zealand,"New Zealand to Fiji","New Zealand",-36.9,174.87,260,Eruption Dated,1049110,1049110,1222436,1446768
Augustine,Lava dome(s),2006,United States,"Alaska","Alaska (southwestern)",59.363,-153.43,1252,Eruption Observed,0,0,0,759
Auquihuato,Pyroclastic cone,Unknown,Peru,"South America","Peru",-15.07,-73.18,4980,Evidence Uncertain,213,1324,12228,173927
Avachinsky,Stratovolcano,2001,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",53.256,158.836,2717,Eruption Observed,0,0,180016,270205
Awu,Stratovolcano,2004,Indonesia,"Indonesia","Sangihe Islands",3.67,125.5,1320,Eruption Observed,6409,22655,52725,58719
Axial Seamount,Submarine,2015,Undersea Features,"Hawaii and Pacific Ocean","Pacific Ocean (northern)",45.95,-130.0,-1410,Eruption Observed,0,0,0,0
Ayelu,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",10.082,40.702,2145,Evidence Credible,193,1375,33262,1279214
Azas Plateau,Volcanic field,Unknown,Russia,"Kamchatka and Mainland Asia","Russia (southeastern)",52.433,98.303,2765,Evidence Credible,142,142,142,4532
Azufral,Stratovolcano,-930,Colombia,"South America","Colombia",1.08,-77.68,4070,Eruption Dated,4334,40657,387292,1817609
Azufre,Stratovolcano,Unknown,Chile,"South America","Northern Chile, Bolivia and Argentina",-21.787,-68.237,5846,Evidence Uncertain,0,58,1143,55567
Azul,Stratovolcano,1967,Chile,"South America","Central Chile and Argentina",-35.653,-70.761,3788,Eruption Observed,9,158,3832,720948
Azul,Shield,2008,Ecuador,"South America","Galapagos Islands",-0.92,-91.408,1640,Eruption Observed,220,220,314,1936
Azul,Pyroclastic cone(s),Unknown,Nicaragua,"México and Central America","Nicaragua",12.53,-83.87,201,Evidence Credible,4310,4310,10056,211349
Azumayama,Stratovolcano(es),1977,Japan,"Japan, Taiwan, Marianas","Honshu",37.735,140.244,1949,Eruption Observed,128,907,548195,4877648
Babuyan Claro,Stratovolcano(es),1924,Philippines,"Philippines and SE Asia","North of Luzon",19.523,121.94,1080,Eruption Observed,208,222,222,11819
Bachelor,Stratovolcano,-5800,United States,"Canada and Western USA","USA (Oregon)",43.979,-121.688,2763,Eruption Dated,18,24,22514,231420
Bagana,Lava cone,2017,Papua New Guinea,"Melanesia and Australia","Bougainville and Solomon Islands",-6.137,155.196,1855,Eruption Observed,198,404,7861,115257
Bakening,Stratovolcano,-550,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",53.905,158.07,2278,Eruption Dated,0,10,1583,87139
Baker,Stratovolcano(es),1880,United States,"Canada and Western USA","USA (Washington)",48.777,-121.813,3285,Eruption Observed,0,46,8568,1990504
Bal Haf,Volcanic field,Unknown,Yemen,"Middle East and Indian Ocean","Middle East (southern)",14.067,48.3,604,Evidence Credible,5690,5690,6643,177124
Balbi,Stratovolcano,Unknown,Papua New Guinea,"Melanesia and Australia","Bougainville and Solomon Islands",-5.92,154.98,2715,Evidence Credible,314,505,11904,127928
Baluan,Stratovolcano,Unknown,Papua New Guinea,"Melanesia and Australia","Admiralty Islands",-2.57,147.28,254,Evidence Uncertain,242,248,982,46898
Baluran,Stratovolcano,Unknown,Indonesia,"Indonesia","Java",-7.85,114.37,1247,Evidence Uncertain,1313,59107,437688,5474053
Balut,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Mindanao",5.4,125.375,862,Unrest / Holocene,1472,1901,10763,1286239
Bam,Stratovolcano,1960,Papua New Guinea,"Melanesia and Australia","Northeast of New Guinea",-3.613,144.818,685,Eruption Observed,192,192,462,103203
Bamus,Stratovolcano,1886,Papua New Guinea,"Melanesia and Australia","New Britain",-5.2,151.23,2248,Eruption Observed,50,630,19320,71997
Banahaw,Complex,Unknown,Philippines,"Philippines and SE Asia","Luzon",14.07,121.48,2158,Evidence Credible,754,93134,1698285,23837289
Banda Api,Caldera,1988,Indonesia,"Indonesia","Banda Sea",-4.523,129.881,596,Eruption Observed,5682,5682,5810,5810
Bandaisan,Stratovolcano,1888,Japan,"Japan, Taiwan, Marianas","Honshu",37.601,140.072,1816,Eruption Observed,5923,17608,327454,4709782
Banua Wuhu,Submarine,1919,Indonesia,"Indonesia","Sangihe Islands",3.138,125.491,-5,Eruption Observed,359,480,4586,69756
Barcena,Pyroclastic cone(s),1953,Mexico,"México and Central America","Mexico",19.3,-110.82,332,Eruption Observed,0,0,0,0
Bardarbunga,Stratovolcano,2015,Iceland,"Iceland and Arctic Ocean","Iceland (northeastern)",64.633,-17.516,2000,Eruption Observed,0,0,0,1348
Barkhatnaya Sopka,Lava dome(s),-3550,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",52.802,158.24,874,Eruption Dated,0,208,13963,252873
Barren Island,Stratovolcano,2017,India,"Indonesia","Andaman Islands",12.278,93.858,354,Eruption Observed,645,645,645,5035
Barrier,Shield,1921,Kenya,"Africa and Red Sea","Africa (eastern)",2.32,36.57,1032,Eruption Observed,17,112,4180,109675
Baru,Stratovolcano,1550,Panama,"México and Central America","Panama",8.808,-82.543,3474,Eruption Observed,118,6983,79933,756597
Barva,Complex,-6050,Costa Rica,"México and Central America","Costa Rica",10.135,-84.1,2906,Eruption Dated,177,8018,2004665,3399329
Bas Dong Nai,Volcanic field,Unknown,Vietnam,"Philippines and SE Asia","Southeast Asia",10.8,107.2,392,Evidence Uncertain,991688,991688,991688,12300349
Batur,Caldera,2000,Indonesia,"Indonesia","Lesser Sunda Islands",-8.242,115.375,1717,Eruption Observed,466899,466899,937766,4289189
Bayo Gorbea,Complex,Unknown,Chile-Argentina,"South America","Northern Chile, Bolivia and Argentina",-25.414,-68.588,5413,Evidence Credible,0,26,288,7824
Bayuda Volcanic Field,Pyroclastic cone(s),850,Sudan,"Africa and Red Sea","Africa (northern)",18.33,32.75,670,Eruption Dated,1124,1124,2752,259325
Bazman,Stratovolcano,Unknown,Iran,"Middle East and Indian Ocean","Middle East (eastern)",28.07,60.0,3490,Unrest / Holocene,8,64,7370,102151
Behm Canal-Rudyerd Bay,Pyroclastic cone(s),Unknown,United States,"Alaska","Alaska (eastern)",55.32,-131.05,500,Evidence Uncertain,0,0,6,15569
Belenkaya,Stratovolcano,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",51.75,157.27,892,Evidence Credible,0,8,118,3968
Belknap,Shield(s),480,United States,"Canada and Western USA","USA (Oregon)",44.285,-121.841,2095,Eruption Dated,0,0,6518,362091
Bely,Shield(s),Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",57.88,160.53,2080,Evidence Uncertain,0,0,20,1320
Berlin,Shield(s),-8350,Antarctica,"Antarctica","Antarctica and South Sandwich Islands",-76.05,-136.0,3478,Eruption Dated,0,0,0,0
Beru,Volcanic field,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",8.95,39.75,1100,Evidence Credible,3850,20176,196084,3809644
Berutarubesan [Berutarube],Stratovolcano,Unknown,Japan - administered by Russia,"Kuril Islands","Kuril Islands",44.462,146.932,1221,Evidence Credible,0,113,240,9155
Besar,Stratovolcano?,1940,Indonesia,"Indonesia","Sumatra",-4.43,103.67,1899,Eruption Observed,214,2467,42623,1263142
Bezymianny,Stratovolcano,2017,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",55.972,160.595,2882,Eruption Observed,0,0,47,11728
Bibinoi,Stratovolcano(es),Unknown,Indonesia,"Indonesia","Halmahera",-0.761,127.725,932,Evidence Credible,53,4276,15604,83771
Bilate River Field,Maar(s),Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",7.07,38.1,1700,Unrest / Holocene,359001,359001,1222547,9860754
Biliran,Compound,1939,Philippines,"Philippines and SE Asia","Central Philippines",11.523,124.535,1301,Eruption Observed,4612,78799,254519,3177850
Billy Mitchell,Pyroclastic shield,1580,Papua New Guinea,"Melanesia and Australia","Bougainville and Solomon Islands",-6.092,155.225,1544,Eruption Dated,113,449,9620,119191
Bir Borhut,Volcanic field,Unknown,Yemen,"Middle East and Indian Ocean","Middle East (southern)",15.515,50.935,464,Evidence Uncertain,517,517,2117,115648
Birk,Volcanic field,Unknown,Saudi Arabia,"Middle East and Indian Ocean","Middle East (southern)",18.37,41.63,587,Evidence Credible,37855,37855,37855,596401
Bishoftu Volcanic Field,Fissure vent(s),Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",8.78,38.98,1850,Evidence Credible,310101,310101,662037,7986826
Black Butte Crater Lava Field,Shield,-8400,United States,"Canada and Western USA","USA (Idaho)",43.183,-114.352,1478,Eruption Dated,119,158,4440,171376
Black Peak,Stratovolcano,-1900,United States,"Alaska","Alaska Peninsula",56.552,-158.785,1032,Eruption Dated,0,0,0,478
Black Rock Desert,Volcanic field,1290,United States,"Canada and Western USA","USA (Utah)",38.97,-112.5,1800,Eruption Dated,3292,3292,3679,54291
Blanca,Volcanic field,Unknown,Argentina,"South America","Central Chile and Argentina",-39.02,-70.37,1700,Evidence Credible,0,0,0,0
Blancas,Stratovolcano,Unknown,Chile,"South America","Central Chile and Argentina",-36.286,-71.009,2268,Evidence Credible,127,398,1980,355814
Blanco,Caldera,-2300,Argentina,"South America","Northern Chile, Bolivia and Argentina",-26.789,-67.765,4670,Eruption Dated,39,39,65,14279
Bliznets,Stratovolcano,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",56.97,159.78,1244,Evidence Uncertain,0,0,159,9394
Bliznetsy,Lava cone,-1060,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",57.35,161.37,265,Eruption Dated,0,4,155,3822
Blue Lake Crater,Maar,680,United States,"Canada and Western USA","USA (Oregon)",44.411,-121.774,1230,Eruption Dated,19,308,6914,286219
Blup Blup,Stratovolcano,Unknown,Papua New Guinea,"Melanesia and Australia","Northeast of New Guinea",-3.507,144.605,402,Evidence Credible,270,270,462,93315
Bobrof,Stratovolcano,Unknown,United States,"Alaska","Aleutian Islands",51.91,-177.438,738,Evidence Uncertain,0,0,0,0
Bogoslof,Submarine,2017,United States,"Alaska","Aleutian Islands",53.93,-168.03,150,Eruption Observed,0,0,0,4216
Boisa,Stratovolcano,Unknown,Papua New Guinea,"Melanesia and Australia","Northeast of New Guinea",-3.994,144.963,240,Evidence Uncertain,139,1343,18874,177478
Bola,Stratovolcano,Unknown,Papua New Guinea,"Melanesia and Australia","New Britain",-5.141,150.038,1116,Evidence Credible,73,387,8601,116418
Bolshe-Bannaya,Lava dome(s),Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",52.9,157.78,1200,Evidence Credible,0,27,1061,271762
Bolshoi Payalpan,Shield(s),Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",55.88,157.78,1906,Evidence Uncertain,0,0,26,2653
Bolshoi Semiachik,Stratovolcano(es),-4450,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",54.32,160.02,1720,Eruption Dated,0,0,554,7373
Bolshoi-Kekuknaysky,Shield(s),-5310,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",56.483,157.917,1401,Eruption Dated,0,0,158,2779
Bombalai,Pyroclastic cone,Unknown,Malaysia,"Indonesia","Borneo",4.4,117.88,531,Evidence Uncertain,800,4272,323619,680856
Boomerang Seamount,Submarine,1995,France,"Middle East and Indian Ocean","Indian Ocean (southern)",-37.721,77.825,-650,Eruption Dated,0,0,0,0
Bora Ale,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.725,40.6,668,Evidence Credible,0,0,11328,339803
Bora-Bericcio,Pyroclastic cone(s),Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",8.221,39.05,2267,Evidence Credible,5822,44666,433373,8356559
Borawli,Lava dome(s),Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",11.63,41.45,875,Evidence Credible,920,30581,103744,321195
Borawli,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.304,40.987,784,Evidence Credible,38,100,3699,111101
Boset-Bericha,Stratovolcano(es),Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",8.558,39.475,2447,Evidence Credible,3267,19603,586318,7130451
Bouvet,Shield,-50,Norway,"Atlantic Ocean","Atlantic Ocean (southern)",-54.408,3.351,741,Eruption Dated,0,0,0,0
Brava,Stratovolcano,Unknown,Cape Verde,"Atlantic Ocean","Cape Verde Islands",14.85,-24.72,900,Evidence Credible,5631,6644,25852,43281
Bravo,Stratovolcano,1720,Colombia,"South America","Colombia",5.091,-75.293,3985,Eruption Dated,1679,4916,538690,3929468
Brennisteinsfjoll,Crater rows,1341,Iceland,"Iceland and Arctic Ocean","Iceland (southwestern)",63.933,-21.783,610,Eruption Observed,33526,33526,163469,203012
Bridge River Cones,Volcanic field,Unknown,Canada,"Canada and Western USA","Canada",50.8,-123.4,2500,Evidence Credible,55,55,219,15871
Bridgeman Island,Stratovolcano,Unknown,Antarctica,"Antarctica","Antarctica and South Sandwich Islands",-62.061,-56.717,240,Evidence Uncertain,0,0,0,0
